Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Novel Fiksi; Alat Olahraga",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas; Menambah pengetahuan,Membaca buku atau majalah ; Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Setuju,Setuju
"Novel Fiksi; Buku Anak; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi",Bermain game (offline/online); Olahraga,"Buku fiksi (novel, komik, buku anak); Mainan",Setuju,Sangat Setuju,Tidak Setuju,Setuju
"Perlengkapan Kantor atau Sekolah; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Olahraga; Belanja online/offline,"Buku fiksi (novel, komik, buku anak); Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga; Mainan/Collectible item",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Perlengkapan Kantor atau Sekolah; Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi; Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah",Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,"Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan",Netral,Tidak Setuju,Setuju,Tidak Setuju
Alat Musik,Website Gramedia.com,Untuk mengekspresikan kreativitas,Travelling; Melukis atau menggambar ; Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Olahraga; Mainan/Collectible item,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Belanja online/offline,"Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
"Perlengkapan Seni/Kreatif; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain game (offline/online); Belanja online/offline; Bermain musik,"Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak); Mainan",Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
"Perlengkapan Kantor atau Sekolah; Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Kado atau hadiah,Olahraga; Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi,Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Komik/Novel Grafis; Novel Fiksi,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Netral,Netral,Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga; Melukis atau menggambar ,Alat Musik & kesenian; Alat Olahraga,Tidak Setuju,Netral,Tidak Setuju,Netral
Buku Anak,Toko alat tulis lainnya,Kado atau hadiah; Untuk mengekspresikan kreativitas; Menambah pengetahuan,Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Musik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Tidak Setuju,Netral,Setuju,Setuju
Alat Olahraga,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
"Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,"Bermain musik; Membaca buku atau majalah ; Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian; Mainan; Alat Olahraga,Setuju,Setuju,Sangat Tidak Setuju,Netral
Komik/Novel Grafis; Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Mainan,Netral,Sangat Tidak Setuju,Tidak Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah","Bermain game (offline/online); Olahraga; Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak); Alat Olahraga",Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Mainan/Collectible item,Aplikasi Gramedia.com,Menambah pengetahuan,Belanja online/offline; Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Netral,Sangat Setuju
"Alat Musik; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Membaca buku atau majalah ,"Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan",Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Membaca buku atau majalah ; Belanja online/offline; Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Tidak Setuju,Sangat Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Kado atau hadiah,Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi,Mainan; Alat Musik & kesenian,Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Olahraga,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Mainan; Kesehatan dan Kecantikan,Netral,Netral,Setuju,Netral
Perlengkapan Kantor atau Sekolah; Buku Anak; Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Untuk mengekspresikan kreativitas,Olahraga; Melukis atau menggambar ; Travelling,Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Mainan/Collectible item,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Jurnal/Perencana (Planner); Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah; Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi; Belanja online/offline,"Kesehatan dan Kecantikan; Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
"Komik/Novel Grafis; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga; Alat Musik & kesenian",Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Olahraga; Novel Fiksi; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan; Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Olahraga,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah ; Travelling,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Setuju,Setuju
"Perlengkapan Kantor atau Sekolah; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan; Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Olahraga; Bermain musik; Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan; Alat Olahraga",Setuju,Tidak Setuju,Setuju,Sangat Setuju
Buku Anak; Perlengkapan Seni/Kreatif; Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi; Bermain musik; Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah",Belanja online/offline,Alat Musik & kesenian,Setuju,Tidak Setuju,Setuju,Tidak Setuju
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Bermain musik; Travelling,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Netral,Setuju
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah",Melukis atau menggambar ; Travelling,"Buku fiksi (novel, komik, buku anak); Alat Olahraga",Setuju,Sangat Setuju,Tidak Setuju,Setuju
Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Hiburan atau relaksasi,"Olahraga; Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Netral,Netral,Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Alat Olahraga,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi","Bermain musik; Belanja online/offline; Menulis (diari, blog, atau lainnya)","Mainan; Buku fiksi (novel, komik, buku anak); Alat Olahraga",Setuju,Setuju,Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Kesehatan dan Kecantikan; Alat Musik & kesenian,Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item; Komik/Novel Grafis; Buku Anak,Toko buku independen lainnya,"Kado atau hadiah; Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ; Travelling; Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Komik/Novel Grafis,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,"Bermain musik; Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan",Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Alat Olahraga; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Untuk mengekspresikan kreativitas; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Membaca buku atau majalah ; Travelling,Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Netral,Tidak Setuju
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Kado atau hadiah",Bermain game (offline/online); Melukis atau menggambar ; Olahraga,Mainan; Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Setuju,Tidak Setuju,Setuju
Novel Fiksi,Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Perlengkapan Seni/Kreatif; Buku Anak; Komik/Novel Grafis,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Kado atau hadiah",Bermain musik,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Perlengkapan Seni/Kreatif,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah",Belanja online/offline; Membaca buku atau majalah ; Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Alat Tulis kantor atau sekolah",Netral,Sangat Setuju,Sangat Setuju,Netral
"Alat Tulis Umum (Kantor/Sekolah); Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan; Mainan",Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
"Novel Fiksi; Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Bermain musik,Alat Musik & kesenian; Kesehatan dan Kecantikan; Mainan,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,"Menulis (diari, blog, atau lainnya); Bermain musik; Bermain game (offline/online)",Alat Musik & kesenian; Mainan; Alat Olahraga,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
"Jurnal/Perencana (Planner); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Olahraga; Menghadiri acara budaya atau edukasi,Alat Olahraga; Kesehatan dan Kecantikan; Mainan,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya); Melukis atau menggambar ; Belanja online/offline","Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Kantor atau Sekolah; Mainan/Collectible item,Toko buku independen lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline; Membaca buku atau majalah ; Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Musik; Komik/Novel Grafis,Toko buku independen lainnya,"Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item; Perlengkapan Seni/Kreatif; Komik/Novel Grafis,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Travelling,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,"Olahraga; Menulis (diari, blog, atau lainnya); Bermain musik","Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian",Netral,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Netral,Netral,Setuju,Netral
Alat Olahraga,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Bermain game (offline/online); Melukis atau menggambar ,Kesehatan dan Kecantikan,Netral,Tidak Setuju,Netral,Setuju
Komik/Novel Grafis; Alat Musik,Aplikasi Gramedia.com,Kado atau hadiah; Untuk mengekspresikan kreativitas,Olahraga; Bermain game (offline/online); Melukis atau menggambar ,Mainan,Netral,Sangat Tidak Setuju,Netral,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar ; Menulis (diari, blog, atau lainnya); Travelling","Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak); Alat Olahraga",Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah; Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Travelling; Bermain musik,Alat Olahraga,Sangat Setuju,Netral,Netral,Setuju
Alat Musik,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Komik/Novel Grafis,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Membaca buku atau majalah ; Olahraga,Alat Tulis kantor atau sekolah,Netral,Netral,Sangat Setuju,Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Toko buku independen lainnya,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Sangat Tidak Setuju,Netral,Netral,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Kado atau hadiah,Belanja online/offline; Bermain musik; Olahraga,Mainan; Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Netral,Setuju,Netral,Tidak Setuju
Komik/Novel Grafis; Mainan/Collectible item; Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi; Olahraga; Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Netral,Setuju
Komik/Novel Grafis; Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan,Melukis atau menggambar ; Bermain musik; Olahraga,"Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Tidak Setuju,Sangat Setuju
Perlengkapan Kantor atau Sekolah; Novel Fiksi; Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah ; Bermain musik; Bermain game (offline/online),Mainan; Alat Musik & kesenian,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Alat Musik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik; Menulis (diari, blog, atau lainnya); Olahraga",Alat Musik & kesenian,Sangat Setuju,Netral,Netral,Setuju
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah",Membaca buku atau majalah ; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan",Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Mainan/Collectible item; Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Olahraga; Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi; Olahraga; Travelling,Kesehatan dan Kecantikan,Setuju,Setuju,Sangat Setuju,Setuju
"Komik/Novel Grafis; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Musik",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Alat Tulis kantor atau sekolah; Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Olahraga,Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Setuju,Netral,Netral,Setuju
