Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Menambah pengetahuan,"Olahraga, Melukis atau menggambar = Seni"
Alat Musik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Buku Anak, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Melukis atau menggambar = Seni
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Menghadiri acara budaya atau edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
Jurnal/Perencana (Planner),Website Gramedia.com,Hiburan atau relaksasi,Olahraga
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas",Bermain musik
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah","Travelling, Bermain musik, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah = Literasi"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Travelling
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Belanja online/offline = Lifestyle
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah = Literasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga, Bermain musik"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Alat Musik, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Menulis (diari, blog, atau lainnya)"
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Belanja online/offline = Lifestyle
"Alat Olahraga, Buku Anak, Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi
"Buku Anak, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni, Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni, Travelling"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Olahraga"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah = Literasi
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Bermain musik"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Menghadiri acara budaya atau edukasi
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Belanja online/offline = Lifestyle"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle, Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Bermain musik, Membaca buku atau majalah = Literasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
"Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
Jurnal/Perencana (Planner),Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online) = Aktivitas Rekreasional
Perlengkapan Seni/Kreatif,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
"Novel Fiksi, Alat Olahraga, Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah,"Melukis atau menggambar = Seni, Olahraga"
"Alat Olahraga, Alat Musik",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah = Literasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi"
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Kado atau hadiah,"Travelling, Menulis (diari, blog, atau lainnya)"
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Novel Fiksi, Alat Musik, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Melukis atau menggambar = Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menghadiri acara budaya atau edukasi"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Travelling, Olahraga"
"Mainan/Collectible item, Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Musik,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Olahraga, Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Travelling
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,"Olahraga, Belanja online/offline = Lifestyle"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar = Seni"
Alat Musik,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Bermain musik
Komik/Novel Grafis,Toko Gramedia,Hiburan atau relaksasi,Travelling
"Perlengkapan Kantor atau Sekolah, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan",Bermain musik
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Menulis (diari, blog, atau lainnya), Bermain musik"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah = Literasi
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online) = Aktivitas Rekreasional
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
Mainan/Collectible item,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Melukis atau menggambar = Seni, Bermain musik, Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain musik
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Travelling"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Bermain musik"
"Mainan/Collectible item, Buku Anak",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah = Literasi
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah = Literasi, Bermain musik"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain musik, Melukis atau menggambar = Seni, Olahraga"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Bermain game (offline/online) = Aktivitas Rekreasional
"Mainan/Collectible item, Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menulis (diari, blog, atau lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,"Membaca buku atau majalah = Literasi, Bermain musik, Olahraga"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Travelling
Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Travelling
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Olahraga, Travelling"
"Buku Anak, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Olahraga"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan",Melukis atau menggambar = Seni
"Novel Fiksi, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Travelling"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling
Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,Menghadiri acara budaya atau edukasi
"Alat Musik, Buku Anak, Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi",Belanja online/offline = Lifestyle
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan",Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Belanja online/offline = Lifestyle
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Belanja online/offline = Lifestyle, Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi"
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar = Seni"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Belanja online/offline = Lifestyle
