Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Membaca buku atau majalah , Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline","Kesehatan dan Kecantikan, Alat Olahraga"
Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah , Olahraga, Melukis atau menggambar ","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga, Alat Musik & kesenian"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Alat Musik & kesenian, Alat Olahraga"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Bermain musik, Travelling","Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain musik, Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain musik, Menghadiri acara budaya atau edukasi",Mainan
"Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Olahraga, Melukis atau menggambar ","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Travelling, Menghadiri acara budaya atau edukasi",Kesehatan dan Kecantikan
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama)"
Mainan/Collectible item,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menulis (diari, blog, atau lainnya)","Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah",Belanja online/offline,"Mainan, Alat Olahraga, Alat Musik & kesenian"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga, Kesehatan dan Kecantikan"
Mainan/Collectible item,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Mainan"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko Gramedia,Menambah pengetahuan,Melukis atau menggambar ,"Alat Tulis kantor atau sekolah, Alat Olahraga"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Melukis atau menggambar , Bermain musik","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik/Novel Grafis,Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Bermain game (offline/online), Bermain musik",Mainan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Melukis atau menggambar , Bermain musik",Mainan
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Membaca buku atau majalah , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)",Alat Olahraga
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ,"Alat Musik & kesenian, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,Kado atau hadiah,Travelling,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kado atau hadiah, Hiburan atau relaksasi","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Belanja online/offline",Alat Musik & kesenian
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Travelling, Belanja online/offline, Bermain musik","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online),"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan",Belanja online/offline,Kesehatan dan Kecantikan
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Membaca buku atau majalah ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah",Olahraga,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Anak",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline, Melukis atau menggambar ","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak), Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ,"Kesehatan dan Kecantikan, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Belanja online/offline","Mainan, Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar ","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Olahraga, Melukis atau menggambar ","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah",Olahraga,"Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar ",Kesehatan dan Kecantikan
"Perlengkapan Kantor atau Sekolah, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Bermain game (offline/online), Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar ","Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Menambah pengetahuan,"Olahraga, Melukis atau menggambar ","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
Alat Musik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Olahraga, Bermain game (offline/online), Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Belanja online/offline","Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Belanja online/offline",Alat Tulis kantor atau sekolah
"Buku Anak, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar ","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Menghadiri acara budaya atau edukasi,"Mainan, Alat Musik & kesenian, Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Belanja online/offline, Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Jurnal/Perencana (Planner),Website Gramedia.com,Hiburan atau relaksasi,Olahraga,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas",Bermain musik,Alat Musik & kesenian
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah","Travelling, Bermain musik, Menghadiri acara budaya atau edukasi",Alat Musik & kesenian
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah ","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah ",Alat Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga, Bermain musik",Alat Olahraga
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Membaca buku atau majalah , Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
"Komik/Novel Grafis, Alat Musik, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Belanja online/offline,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Olahraga, Buku Anak, Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Belanja online/offline, Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Alat Tulis kantor atau sekolah"
Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Buku Anak, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Travelling","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar , Travelling","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Mainan"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Bermain musik",Alat Tulis kantor atau sekolah
"Alat Olahraga, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Menambah pengetahuan",Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Bermain musik, Membaca buku atau majalah ","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
Jurnal/Perencana (Planner),Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Mainan"
Perlengkapan Seni/Kreatif,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Melukis atau menggambar , Belanja online/offline","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
